,judul,tanggal,kategori,deskripsi,deskripsi_tokens,deskripsi_tokens_fdist,deskripsi_tokens_WSW,deskripsi_normalized,deskripsi_tokens_stemmed
10,"Begini Cara Menyimpan Nomor di WhatsApp Web, Mudah Banget","Senin, 27 Juni 2022 - 14:02 WIB",TELCO,cara menyimpan nomor di whatsapp web bisa dilakukan dengan mudah dengan memahami ulasan ini pengguna tidak perlu bingung lagi untuk menyimpan nomor pengguna lain melalui whatsapp web,"['cara', 'menyimpan', 'nomor', 'di', 'whatsapp', 'web', 'bisa', 'dilakukan', 'dengan', 'mudah', 'dengan', 'memahami', 'ulasan', 'ini', 'pengguna', 'tidak', 'perlu', 'bingung', 'lagi', 'untuk', 'menyimpan', 'nomor', 'pengguna', 'lain', 'melalui', 'whatsapp', 'web']",<FreqDist with 21 samples and 27 outcomes>,"['menyimpan', 'nomor', 'whatsapp', 'web', 'mudah', 'memahami', 'ulasan', 'pengguna', 'bingung', 'menyimpan', 'nomor', 'pengguna', 'whatsapp', 'web']","['menyimpan', 'nomor', 'whatsapp', 'web', 'mudah', 'memahami', 'ulasan', 'pengguna', 'bingung', 'menyimpan', 'nomor', 'pengguna', 'whatsapp', 'web']","['simpan', 'nomor', 'whatsapp', 'web', 'mudah', 'paham', 'ulas', 'guna', 'bingung', 'simpan', 'nomor', 'guna', 'whatsapp', 'web']"
11,"Punya 60 Mode Olahraga, Amazfit BIP 3 Pro Dilengkapi GPS dan Sensor Jantung","Senin, 27 Juni 2022 - 09:35 WIB",ELEKTRONIK,amazfit kembali merilis ham tangan pintar terbaru seri tersebut bip pro yang didedikasikan bagi para pecinta olahraga dan gaya hidup sehat kali ini kami pun berkesempatan untuk mereview jam tangan pintar seri bip pro,"['amazfit', 'kembali', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'tersebut', 'bip', 'pro', 'yang', 'didedikasikan', 'bagi', 'para', 'pecinta', 'olahraga', 'dan', 'gaya', 'hidup', 'sehat', 'kali', 'ini', 'kami', 'pun', 'berkesempatan', 'untuk', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']",<FreqDist with 29 samples and 34 outcomes>,"['amazfit', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'bip', 'pro', 'didedikasikan', 'pecinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'berkesempatan', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']","['amazfit', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'bip', 'pro', 'didedikasikan', 'pecinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'berkesempatan', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']","['amazfit', 'rilis', 'ham', 'tangan', 'pintar', 'baru', 'seri', 'bip', 'pro', 'dedikasi', 'cinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'sempat', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']"
12,"Cara Membuat NGL Link di Instagram, Ternyata Gampang Banget!","Senin, 27 Juni 2022 - 08:30 WIB",TELCO,cara membuat ngl link di instagram bisa dilakukan dengan mudah ngl anonymous qa memang sedang jadi tren belakangan ini,"['cara', 'membuat', 'ngl', 'link', 'di', 'instagram', 'bisa', 'dilakukan', 'dengan', 'mudah', 'ngl', 'anonymous', 'qa', 'memang', 'sedang', 'jadi', 'tren', 'belakangan', 'ini']",<FreqDist with 18 samples and 19 outcomes>,"['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']","['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']","['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']"
13,"Kode Redeem FF Free Fire Senin 27 Juni 2022, Klaim Agar Senin Pagi Lebih Ceria","Senin, 27 Juni 2022 - 08:06 WIB",GAMES,kode redeem ff free fire senin juni lebih menarik karena pemain bisa mendapat banyak sekali item gratis yang bisa digunakan,"['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'lebih', 'menarik', 'karena', 'pemain', 'bisa', 'mendapat', 'banyak', 'sekali', 'item', 'gratis', 'yang', 'bisa', 'digunakan']",<FreqDist with 19 samples and 20 outcomes>,"['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'tarik', 'main', 'item', 'gratis']"
14,Google Chrome Hadirkan 5 Fitur Penting Terbaru untuk iOS,"Minggu, 26 Juni 2022 - 19:01 WIB",TELCO,google chrome bukan hanya perangkat desktop terbesar di dunia tapi juga perangkat seluler yang paling populer hal itu membuat google terus berupaya untuk menghadirkan fiturfitur menarik,"['google', 'chrome', 'bukan', 'hanya', 'perangkat', 'desktop', 'terbesar', 'di', 'dunia', 'tapi', 'juga', 'perangkat', 'seluler', 'yang', 'paling', 'populer', 'hal', 'itu', 'membuat', 'google', 'terus', 'berupaya', 'untuk', 'menghadirkan', 'fiturfitur', 'menarik']",<FreqDist with 24 samples and 26 outcomes>,"['google', 'chrome', 'perangkat', 'desktop', 'terbesar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'berupaya', 'menghadirkan', 'fiturfitur', 'menarik']","['google', 'chrome', 'perangkat', 'desktop', 'terbesar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'berupaya', 'menghadirkan', 'fiturfitur', 'menarik']","['google', 'chrome', 'perangkat', 'desktop', 'besar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'upaya', 'hadir', 'fiturfitur', 'tarik']"
15,"Digemari Masyarakat, Vinero Indonesia Juara Kategori Top Brand Products Winner 2022","Minggu, 26 Juni 2022 - 16:32 WIB",TELCO,vinero indonesia baru saja menyabet penghargaan di indonesia award magazine sebagai top brand products winner,"['vinero', 'indonesia', 'baru', 'saja', 'menyabet', 'penghargaan', 'di', 'indonesia', 'award', 'magazine', 'sebagai', 'top', 'brand', 'products', 'winner']",<FreqDist with 14 samples and 15 outcomes>,"['vinero', 'indonesia', 'menyabet', 'penghargaan', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']","['vinero', 'indonesia', 'menyabet', 'penghargaan', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']","['vinero', 'indonesia', 'sabet', 'harga', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']"
16,Pornhub Diduga Melakukan PHK 70 Persen Karyawan,"Minggu, 26 Juni 2022 - 14:02 WIB",TELCO,situs pornografi terbesar di dunia pornhub terus mendapatkan kabar tidak sedap perusahaan yang dioperasikan oleh mindgeek tersebut dikabarkan telah merumahkan ribuan karyawan mereka,"['situs', 'pornografi', 'terbesar', 'di', 'dunia', 'pornhub', 'terus', 'mendapatkan', 'kabar', 'tidak', 'sedap', 'perusahaan', 'yang', 'dioperasikan', 'oleh', 'mindgeek', 'tersebut', 'dikabarkan', 'telah', 'merumahkan', 'ribuan', 'karyawan', 'mereka']",<FreqDist with 23 samples and 23 outcomes>,"['situs', 'pornografi', 'terbesar', 'dunia', 'pornhub', 'kabar', 'sedap', 'perusahaan', 'dioperasikan', 'mindgeek', 'dikabarkan', 'merumahkan', 'ribuan', 'karyawan']","['situs', 'pornografi', 'terbesar', 'dunia', 'pornhub', 'kabar', 'sedap', 'perusahaan', 'dioperasikan', 'mindgeek', 'dikabarkan', 'merumahkan', 'ribuan', 'karyawan']","['situs', 'pornografi', 'besar', 'dunia', 'pornhub', 'kabar', 'sedap', 'usaha', 'operasi', 'mindgeek', 'kabar', 'rumah', 'ribu', 'karyawan']"
17,"Kode Redeem FF Free Fire Minggu 26 Juni 2022, Ini Item yang Kamu Cari!","Minggu, 26 Juni 2022 - 13:20 WIB",GAMES,kode redeem ff free fire minggu juni lebih menarik karena pemain bisa mendapat banyak sekali item gratis yang bisa digunakan,"['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'lebih', 'menarik', 'karena', 'pemain', 'bisa', 'mendapat', 'banyak', 'sekali', 'item', 'gratis', 'yang', 'bisa', 'digunakan']",<FreqDist with 19 samples and 20 outcomes>,"['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'tarik', 'main', 'item', 'gratis']"
18,"460.000 Data Pribadi Penduduk Jepang Hilang, Ini Penyebabnya!","Minggu, 26 Juni 2022 - 06:03 WIB",TELCO,seorang karyawan hilangkan data pribadi milik hampir setengah juta penduduk sebuah kota di jepang karena mabuk sambil minumminum dengan rekan kerja,"['seorang', 'karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'hampir', 'setengah', 'juta', 'penduduk', 'sebuah', 'kota', 'di', 'jepang', 'karena', 'mabuk', 'sambil', 'minumminum', 'dengan', 'rekan', 'kerja']",<FreqDist with 21 samples and 21 outcomes>,"['karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'juta', 'penduduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']","['karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'juta', 'penduduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']","['karyawan', 'hilang', 'data', 'pribadi', 'milik', 'juta', 'duduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']"
19,"Aktor Captain America Jadi Korban iOS 16, Terpaksa Pisah dengan iPhone Usang","Sabtu, 25 Juni 2022 - 15:03 WIB",GADGET,chris evans pemeran film captain america terpaksa berpisah dengan ponsel usang miliknya iphone  yang telah digunakan selama tujuh tahun,"['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'dengan', 'ponsel', 'usang', 'miliknya', 'iphone', 'yang', 'telah', 'digunakan', 'selama', 'tujuh', 'tahun']",<FreqDist with 19 samples and 19 outcomes>,"['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'ponsel', 'usang', 'miliknya', 'iphone', 'tujuh']","['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'ponsel', 'usang', 'miliknya', 'iphone', 'tujuh']","['chris', 'evans', 'per', 'film', 'captain', 'america', 'paksa', 'pisah', 'ponsel', 'usang', 'milik', 'iphone', 'tujuh']"
